Wrong country,فصل,%GT Total Import
تایوان,فصل 48,0.00%
ایتالیا,فصل 48,0.00%
مالزی,فصل 90,0.00%
عراق,فصل 07,0.00%
چین,فصل 52,0.00%
چین,فصل 49,0.00%
برزیل,فصل 30,0.00%
هنگ کنگ,فصل 18,0.00%
هنگ کنگ,فصل 72,0.00%
چین,فصل 71,0.00%
مجارستان,فصل 39,0.00%
اندونزی,فصل 15,0.00%
آفریقای جنوبی,فصل 26,0.00%
کره (جنوبی),فصل 21,0.00%
اردن,فصل 31,0.00%
چین,فصل 37,0.00%
تایوان,فصل 82,0.00%
پاکستان,فصل 35,0.00%
بلژیک,فصل 29,0.00%
کلمبیا,فصل 08,0.00%
مجارستان,فصل 30,0.00%
اسلواکی,فصل 39,0.00%
بلژیک,فصل 70,0.00%
مناطق آزاد,فصل 38,0.00%
هلند,فصل 07,0.00%
تایوان,فصل 87,0.00%
مالزی,فصل 31,0.00%
قرقیزستان,فصل 52,0.00%
عمان,فصل 40,0.00%
بلاروس,فصل 47,0.00%
ایتالیا,فصل 26,0.00%
مجارستان,فصل 07,0.00%
فرانسه,فصل 85,0.00%
انگلستان (بریتانیا),فصل 32,0.00%
اتریش,فصل 73,0.00%
سویس,فصل 39,0.00%
لوکزامبورگ,فصل 32,0.00%
ایتالیا,فصل 82,0.00%
فرانسه,فصل 01,0.00%
سوئد,فصل 85,0.00%
انگلستان (بریتانیا),فصل 33,0.00%
ایتالیا,فصل 87,0.00%
اندونزی,فصل 85,0.00%
عمان,فصل 54,0.00%
فدراسیون روسیه,فصل 12,0.00%
هند,فصل 96,0.00%
آلمان,فصل 52,0.00%
آلمان,فصل 14,0.00%
انگلستان (بریتانیا),فصل 19,0.00%
انگلستان (بریتانیا),فصل 05,0.00%
ایرلند,فصل 27,0.00%
بلژیک,فصل 31,0.00%
پاکستان,فصل 84,0.00%
انگلستان (بریتانیا),فصل 31,0.00%
تاجیکستان,فصل 50,0.00%
پرتغال,فصل 84,0.00%
انگلستان (بریتانیا),فصل 35,0.00%
ترکیه,فصل 50,0.00%
کانادا,فصل 96,0.00%
اتیوپی,فصل 34,0.00%
بلغارستان,فصل 28,0.00%
آلمان,فصل 98,0.00%
هنگ کنگ,فصل 91,0.00%
فدراسیون روسیه,فصل 73,0.00%
تایوان,فصل 32,0.00%
فرانسه,فصل 38,0.00%
بلژیک,فصل 96,0.00%
فدراسیون روسیه,فصل 27,0.00%
اسپانیا,فصل 03,0.00%
هند,فصل 86,0.00%
هند,فصل 33,0.00%
یونان,فصل 87,0.00%
ترکیه,فصل 01,0.00%
عراق,فصل 54,0.00%
هند,فصل 48,0.00%
افغانستان,فصل 50,0.00%
هند,فصل 37,0.00%
عراق,فصل 83,0.00%
لهستان,فصل 85,0.00%
عراق,فصل 29,0.00%
هند,فصل 54,0.00%
بلژیک,فصل 69,0.00%
تایوان,فصل 98,0.00%
دانمارک,فصل 35,0.00%
اتریش,فصل 85,0.00%
سنگاپور,فصل 28,0.00%
تایوان,فصل 90,0.00%
فنلاند,فصل 85,0.00%
پرتغال,فصل 48,0.00%
هنگ کنگ,فصل 59,0.00%
عمان,فصل 86,0.00%
آلمان,فصل 07,0.00%
مالزی,فصل 85,0.00%
هند,فصل 68,0.00%
سوئد,فصل 84,0.00%
اتیوپی,فصل 07,0.00%
اسلواکی,فصل 38,0.00%
بلغارستان,فصل 56,0.00%
اتریش,فصل 13,0.00%
امارات متحده عربی,فصل 74,0.00%
عمان,فصل 33,0.00%
فدراسیون روسیه,فصل 68,0.00%
جمهوری مقدونیه(یوگسلاوی),فصل 84,0.00%
آلمان,فصل 11,0.00%
سنگاپور,فصل 84,0.00%
بحرین,فصل 38,0.00%
هلند,فصل 48,0.00%
لیختن اشتاین,فصل 73,0.00%
دانمارک,فصل 84,0.00%
عمان,فصل 34,0.00%
مالزی,فصل 23,0.00%
فرانسه,فصل 39,0.00%
سویس,فصل 71,0.00%
افغانستان,فصل 09,0.00%
برزیل,فصل 07,0.00%
عمان,فصل 21,0.00%
ایتالیا,فصل 58,0.00%
عمان,فصل 39,0.00%
کاستاریکا,فصل 08,0.00%
تایلند,فصل 06,0.00%
ژاپن,فصل 17,0.00%
ترکیه,فصل 95,0.00%
عراق,فصل 34,0.00%
هند,فصل 83,0.00%
چین,فصل 65,0.00%
تایوان,فصل 28,0.00%
نروژ,فصل 87,0.00%
فدراسیون روسیه,فصل 90,0.00%
چین,فصل 26,0.00%
فرانسه,فصل 12,0.00%
مالزی,فصل 25,0.00%
اسپانیا,فصل 40,0.00%
اسلواکی,فصل 37,0.00%
عمان,فصل 73,0.00%
ایتالیا,فصل 29,0.00%
سویس,فصل 38,0.00%
جمهوری آذربایجان,فصل 44,0.00%
عمان,فصل 90,0.00%
انگلستان (بریتانیا),فصل 48,0.00%
ایتالیا,فصل 96,0.00%
جزیره مالت,فصل 29,0.00%
لوکزامبورگ,فصل 15,0.00%
اسپانیا,فصل 34,0.00%
فرانسه,فصل 87,0.00%
سوئد,فصل 87,0.00%
لهستان,فصل 84,0.00%
سری لانکا,فصل 39,0.00%
هلند,فصل 34,0.00%
آرژانتین,فصل 87,0.00%
پاکستان,فصل 09,0.00%
استرالیا,فصل 90,0.00%
بلژیک,فصل 39,0.00%
هند,فصل 79,0.00%
صربستان و مونته نگرو,فصل 35,0.00%
هنگ کنگ,فصل 34,0.00%
هند,فصل 17,0.00%
سیشل,فصل 39,0.00%
ایتالیا,فصل 35,0.00%
ایتالیا,فصل 70,0.00%
هنگ کنگ,فصل 37,0.00%
گرجستان,فصل 09,0.00%
لهستان,فصل 31,0.00%
امارات متحده عربی,فصل 79,0.00%
هند,فصل 76,0.00%
کره (جنوبی),فصل 70,0.00%
عراق,فصل 33,0.00%
اسلواکی,فصل 68,0.00%
کامبوج,فصل 18,0.00%
هند,فصل 31,0.00%
اسپانیا,فصل 05,0.00%
هند,فصل 70,0.00%
ژاپن,فصل 38,0.00%
مصر,فصل 84,0.00%
